Ahmadabad,1,0.02
Amreli,12,0.07
Arvalli,7,0.25
Banas Kantha,4,0.51
Bharuch,2,0
Bhavnagar,12,0.51
Botad,9,0.03
Chhotaudepur,3,0.17
Devbhumi Dwarka,11,0.03
Dohad,7,0.06
Gir Somnath,2,0.06
Jamnagar,19,0.2
Junagadh,20,0.17
Kachchh,20,0.15
Kheda,1,0
Mahesana,1,0.55
Mahisagar,5,1.23
Morbi,13,0.26
Narmada,5,4.06
Navsari,2,0.03
Panch Mahals,3,0.29
Porbandar,8,0.04
Rajkot,26,0.3
Sabar Kantha,7,0.58
Surat,3,0.03
Surendranagar,11,0.04
Tapi,3,10.15
Valsad,2,0.59
